phase,config_id,symbol,positive_label,lookforward_period,up_delta,down_delta,train_pos_rate,test_pos_rate,train_n,test_n,train_roc_auc,val_roc_auc,test_roc_auc,test_pr_auc,test_accuracy,test_precision,test_recall,test_f1,test_bias,test_calib_corr,elapsed_s,error
phase1,p1_SQQQ_up_h5_d0.01,SQQQ,up,5,0.01,0.01,0.014278755903874256,0.006211180124223602,203022.0,8211.0,0.9969201479637493,0.9242956482900422,0.8719579008073818,0.09844830015730922,0.9708927049080501,0.09130434782608696,0.4117647058823529,0.1494661921708185,0.054357405867635836,0.9409957494839484,4.4,
phase1,p1_SQQQ_up_h10_d0.01,SQQQ,up,10,0.01,0.01,0.04081677329670149,0.020582145901838995,203022.0,8211.0,0.980192736536802,0.9371945057207564,0.7547329184503251,0.08423488970056826,0.9237608086712946,0.11596638655462185,0.40828402366863903,0.1806282722513089,0.1116733039892514,0.9499966716800539,4.1,
phase1,p1_SQQQ_up_h20_d0.01,SQQQ,up,20,0.01,0.01,0.09287485154800541,0.05845816587504567,203022.0,8211.0,0.9562371132604026,0.9334524010645006,0.6419814168067951,0.10287293350504573,0.8280355620509073,0.10374149659863946,0.25416666666666665,0.1473429951690821,0.17333327079716504,0.8947587243857668,4.0,
phase1,p1_SQQQ_up_h40_d0.01,SQQQ,up,40,0.01,0.01,0.17277349372533782,0.12739008646937036,203022.0,8211.0,0.952693786904326,0.9322593026214058,0.583426444942285,0.16165817646899924,0.7612958226768969,0.17952314165497896,0.2447418738049713,0.20711974110032363,0.15392726677922583,0.6776115949083431,4.0,
phase1,p1_SQQQ_up_h60_d0.01,SQQQ,up,60,0.01,0.01,0.2272560598514659,0.17549628547071003,203022.0,8211.0,0.9624514323445262,0.9480967347867578,0.562862344281267,0.20377351498045626,0.6995493849713799,0.1996487119437939,0.2366412213740458,0.21657669101302002,0.11121868559481121,0.5549656408643152,4.0,
phase1,p1_SQQQ_up_h120_d0.01,SQQQ,up,120,0.01,0.01,0.30685916626076104,0.24820362927779807,203022.0,8211.0,0.972074950836935,0.9626006026432812,0.5322063603775153,0.2757059725755952,0.6303738886859092,0.2547958681751107,0.25417075564278707,0.25448292802751166,0.07217720744743691,0.27928828490387714,4.0,
phase1,p1_QQQ_down_h5_d0.01,QQQ,down,5,0.01,0.01,0.0011438328799960595,0.001217878455730118,203022.0,8211.0,1.0,0.9997278941874379,0.8889769540299963,0.19423647621804946,0.9987821215442699,0.0,0.0,0.0,-0.0010139784456379341,0.9536873689431824,4.3,
phase1,p1_QQQ_down_h10_d0.01,QQQ,down,10,0.01,0.01,0.002834954219320377,0.002435756911460236,203022.0,8211.0,1.0,0.9982611263198539,0.9521120742278111,0.2509098187206094,0.9974424552429667,0.3333333333333333,0.05,0.08695652173913043,-0.001553170796420351,0.8860004372653377,4.2,
phase1,p1_QQQ_down_h20_d0.01,QQQ,down,20,0.01,0.01,0.007875480929733635,0.004871513822920472,203022.0,8211.0,0.9999940888267632,0.9960074549052459,0.8392760983967691,0.15283312758655687,0.9945195469492145,0.0,0.0,0.0,-0.0025638631897641727,0.9544235175282592,4.1,
phase1,p1_QQQ_down_h40_d0.01,QQQ,down,40,0.01,0.01,0.023588132597047926,0.011691633175009134,203022.0,8211.0,0.9994406612486737,0.9963568662553867,0.8887553912507701,0.4423436351616241,0.9906223358908781,0.6557377049180327,0.4166666666666667,0.5095541401273885,-0.0008139559355314994,0.918863400195006,4.2,
phase1,p1_QQQ_down_h60_d0.01,QQQ,down,60,0.01,0.01,0.040980959834499966,0.021800024357569114,203022.0,8211.0,0.999291895473311,0.9970473090000845,0.8679054730797481,0.3406019727584876,0.9736938253562295,0.3821656050955414,0.33519553072625696,0.35714285714285715,0.0026558209984184344,0.8056500804769817,4.1,
phase1,p1_QQQ_down_h120_d0.01,QQQ,down,120,0.01,0.01,0.0927818125099196,0.05334307636097917,203022.0,8211.0,0.9980947461244963,0.9957546058751354,0.7573273484435938,0.17468982618174153,0.9341127755450006,0.34718100890207715,0.2671232876712329,0.30193548387096775,0.003827318447074797,0.6898337732449792,4.1,
phase2,p2_SQQQ_up_h5_d0.003,SQQQ,up,5,0.003,0.003,0.1645149108740744,0.12227499695530386,203022.0,8211.0,0.8452969555727805,0.7768667147404502,0.6404734192133921,0.21306790047297303,0.711362805991962,0.2022667829119442,0.46215139442231074,0.2813826561552456,0.27122178463229685,0.8875977805481561,4.0,
phase2,p2_SQQQ_up_h5_d0.005,SQQQ,up,5,0.005,0.005,0.07227491393888977,0.04372183656071124,203022.0,8211.0,0.9251300906025578,0.8512965437146784,0.7246039899704421,0.14120705720328733,0.8598221897454634,0.1386861313868613,0.4233983286908078,0.20893470790378008,0.21339585209514203,0.8944603225159288,3.9,
phase2,p2_SQQQ_up_h5_d0.01,SQQQ,up,5,0.01,0.01,0.014278755903874256,0.006211180124223602,203022.0,8211.0,0.9969201479637493,0.9242956482900422,0.8719579008073818,0.09844830015730922,0.9708927049080501,0.09130434782608696,0.4117647058823529,0.1494661921708185,0.054357405867635836,0.9409957494839484,4.0,
phase2,p2_SQQQ_up_h5_d0.015,SQQQ,up,5,0.015,0.015,0.005155457286872191,0.002070393374741201,203022.0,8211.0,0.9999728237278015,0.9674102792779402,0.8862008069031859,0.12914022796848118,0.9953720618682256,0.13793103448275862,0.23529411764705882,0.17391304347826086,0.004951004443138714,0.989898196474003,4.3,
phase2,p2_SQQQ_up_h5_d0.02,SQQQ,up,5,0.02,0.02,0.002654349027742052,0.001217878455730118,203022.0,8211.0,1.0,0.9948519710151063,0.9903304475064016,0.49001660306067923,0.9984167580075508,0.36363636363636365,0.4,0.38095238095238093,0.0008651686045658214,0.9999820571648468,4.3,
phase2,p2_SQQQ_up_h5_d0.03,SQQQ,up,5,0.03,0.03,0.0012861278794214065,0.001217878455730118,203022.0,8211.0,1.0,0.9989759459419055,0.9942567979514694,0.09638092360002716,0.9974424552429667,0.0,0.0,0.0,0.0003891817438733203,0.9999999949355338,4.4,
phase2,p2_QQQ_down_h10_d0.003,QQQ,down,10,0.003,0.003,0.051291874408244356,0.025819023261478505,203022.0,8211.0,0.9718562498547804,0.9232468703658526,0.7093557685276697,0.07782392613389917,0.9146267202533187,0.07625649913344887,0.20754716981132076,0.11153358681875793,0.09596031426388923,0.9532952518056081,4.0,
phase2,p2_QQQ_down_h10_d0.005,QQQ,down,10,0.005,0.005,0.015066851285306947,0.006454755815369626,203022.0,8211.0,0.9988517001994633,0.9710298032177328,0.7568887120872207,0.04450826782045529,0.9875776397515528,0.1111111111111111,0.1320754716981132,0.1206896551724138,0.009041310024755458,0.9644815583621692,4.1,
phase2,p2_QQQ_down_h10_d0.01,QQQ,down,10,0.01,0.01,0.002834954219320377,0.002435756911460236,203022.0,8211.0,1.0,0.9982611263198539,0.9521120742278111,0.2509098187206094,0.9974424552429667,0.3333333333333333,0.05,0.08695652173913043,-0.001553170796420351,0.8860004372653377,4.2,
phase2,p2_QQQ_down_h10_d0.015,QQQ,down,10,0.015,0.015,0.001280654994828124,0.001217878455730118,203022.0,8211.0,1.0,0.9998890039958561,0.9937690525545665,0.21897582703958623,0.9989039093898429,1.0,0.1,0.18181818181818182,-0.0010044161929664763,0.9999999978759413,4.5,
phase2,p2_QQQ_down_h10_d0.02,QQQ,down,10,0.02,0.02,0.0005472884593282581,0.00012178784557301182,203022.0,8211.0,1.0,0.9998877112261387,0.9999999999999999,1.0,0.999878212154427,0.0,0.0,0.0,-2.401047125141698e-05,0.9999999689384355,4.3,
phase2,p2_QQQ_down_h10_d0.03,QQQ,down,10,0.03,0.03,,,,,,,,,,,,,,,,"Traceback (most recent call last):
  File ""/Users/jiayuwu/Desktop/agentic_ml_research_for_trading/scripts/agent/label_def_sweep.py"", line 92, in run_single
    test_metrics = model.test(TEST_START, TEST_END)
                   ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/jiayuwu/Desktop/agentic_ml_research_for_trading/models/agent/label_def_research_model.py"", line 136, in test
    return self._evaluator.evaluate(y_true, y_pred, prob_pred)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/jiayuwu/Desktop/agentic_ml_research_for_trading/utils/evaluator.py"", line 38, in evaluate
    log_loss_score = log_loss(y_true, prob_pred)
                     ^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/jiayuwu/Desktop/agentic_ml_research_for_trading/env/lib/python3.12/site-packages/sklearn/utils/_param_validation.py"", line 218, in wrapper
    return func(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/jiayuwu/Desktop/agentic_ml_research_for_trading/env/lib/python3.12/site-packages/sklearn/metrics/_classification.py"", line 3378, in log_loss
    transformed_labels, y_pred = _validate_multiclass_probabilistic_prediction(
                                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/jiayuwu/Desktop/agentic_ml_research_for_trading/env/lib/python3.12/site-packages/sklearn/metrics/_classification.py"", line 287, in _validate_multiclass_probabilistic_prediction
    transformed_labels, lb_classes = _one_hot_encoding_multiclass_target(
                                     ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/jiayuwu/Desktop/agentic_ml_research_for_trading/env/lib/python3.12/site-packages/sklearn/metrics/_classification.py"", line 217, in _one_hot_encoding_multiclass_target
    raise ValueError(
ValueError: y_true contains only one label (0.0). Please provide the list of all expected class labels explicitly through the labels argument.
"
