month,n_bars,pos_rate,pos_n,qqq_return
2024-01,8211,0.0106,87,0.0267
2024-02,7820,0.0098,77,0.048
2024-03,7780,0.0111,86,0.0105
2024-04,8602,0.0291,250,-0.0448
2024-05,8562,0.0047,40,0.0553
2024-06,7389,0.0,0,0.058
2024-07,8422,0.0177,149,-0.0161
2024-08,8562,0.0313,268,0.0052
2024-09,7820,0.0127,99,0.0314
2024-10,8993,0.0089,80,-0.0074
2024-11,7600,0.007,53,0.0498
2024-12,7991,0.025,200,0.0015
2025-01,7780,0.0239,186,0.0154
2025-02,7389,0.0325,240,-0.0191
2025-03,8211,0.0608,499,-0.0842
2025-04,8211,0.1343,1103,0.0196
2025-05,8171,0.0237,194,0.0741
2025-06,7820,0.0,0,0.0643
2025-07,8422,0.0047,40,0.0283
2025-08,8171,0.0062,51,0.023
2025-09,8211,0.0043,35,0.0708
2025-10,8953,0.0142,127,0.0568
2025-11,7209,0.0452,326,-0.028
2025-12,8382,0.0054,45,0.0016
2026-01,7780,0.014,109,-0.0018
2026-02,7389,0.0286,211,-0.0225
2026-03,8602,0.0363,312,-0.0377
2026-04,8211,0.0117,96,0.1489
